NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,125.076,105.558,1.5,163.672
UE,2,147.467,0.194712,1.5,147.475
UE,3,81.538,142.718,1.5,164.375
UE,4,70.1109,93.3764,1.5,116.777
UE,5,133.549,0.40713,1.5,133.558
UE,6,66.4084,63.0004,1.5,91.5499
