NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,94.7424,110.041,1.5,145.215
UE,2,51.9919,39.543,1.5,65.338
UE,3,106.669,15.85,1.5,107.85
UE,4,44.3173,68.9434,1.5,81.9723
UE,5,62.8207,3.21558,1.5,62.9208
UE,6,127.001,105.216,1.5,164.93
UE,7,100.785,87.0509,1.5,133.183
UE,8,46.2654,133.339,1.5,141.145
UE,9,141.045,25.0316,1.5,143.257
UE,10,9.79921,88.0461,1.5,88.6024
UE,11,6.08424,104.49,1.5,104.678
UE,12,86.1379,58.3846,1.5,104.071
UE,13,31.6453,146.245,1.5,149.637
UE,14,105.567,35.1696,1.5,111.281
UE,15,72.7847,52.9225,1.5,90.0036
UE,16,8.10801,108.697,1.5,109.009
UE,17,66.803,58.9272,1.5,89.0916
UE,18,133.713,99.1866,1.5,166.492
UE,19,149.393,44.523,1.5,155.894
UE,20,27.9339,143.941,1.5,146.634
