User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.137436,56.2688,258.404,2703,0.137436
2,0,0,1059.34,6000,0.137436
3,0,0,38.6016,6000,0
4,0.251621,0.0170667,589.44,5999,0.251621
5,0,0,460.908,6000,1.18e-07
6,0.000426893,10.2315,744.94,5,0.000426893
7,0.252109,1.71349,696.411,4996,0.251682
8,0.252114,1.71349,544.425,4996,4.464e-06
9,0.256857,1.41141,1524.55,5173,0.00474328
10,0.261757,1.39605,874.558,5182,0.00490026
11,0.293508,0.267947,773.422,5843,0.0317505
12,0.26832,1.15883,1225.44,5321,0.0251879
13,0.000341329,10.2349,838.639,3,0.267979
14,0.265638,1.41653,1034.8,5170,0.265296
15,0.299674,1.75787,856.06,5897,0.0340369
16,0.29319,3.39627,509.864,5801,0.00648493
17,0.283588,1.8432,924.802,5892,0.00960168
18,0,0,314.081,6000,0.283588
19,0,0,1064.73,6000,0
20,0,0,1062.97,6000,0
