NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,43.956,56.8657,1.5,71.8894
UE,2,68.7909,128.267,1.5,145.557
UE,3,9.697,25.9952,1.5,27.7855
UE,4,54.9072,93.6576,1.5,108.576
UE,5,92.7325,24.8313,1.5,96.0113
UE,6,62.6413,104.75,1.5,122.061
UE,7,95.4556,69.3844,1.5,118.018
UE,8,64.1738,82.2677,1.5,104.348
UE,9,130.014,116.556,1.5,174.617
UE,10,130.078,23.8475,1.5,132.254
UE,11,67.3321,104.559,1.5,124.372
UE,12,119.37,101.28,1.5,156.553
UE,13,83.0455,99.3678,1.5,129.51
UE,14,113.489,88.3964,1.5,143.861
UE,15,129.888,15.75,1.5,130.848
UE,16,98.9528,20.0839,1.5,100.982
UE,17,49.7595,126.561,1.5,136
UE,18,42.2688,67.0278,1.5,79.2567
UE,19,90.9289,114.124,1.5,145.927
UE,20,134.071,57.2895,1.5,145.806
