NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,90.3914,39.115,1.5,98.503
UE,2,41.0633,44.7277,1.5,60.7372
UE,3,24.8881,94.2703,1.5,97.5119
UE,4,25.8731,57.3607,1.5,62.9438
UE,5,99.0124,75.5237,1.5,124.537
UE,6,67.9201,133.291,1.5,149.606
UE,7,143.461,41.7831,1.5,149.429
UE,8,15.5525,78.1757,1.5,79.7218
UE,9,113.725,120.322,1.5,165.569
UE,10,95.8403,10.5476,1.5,96.4307
UE,11,55.7106,113.712,1.5,126.634
UE,12,125.194,42.7156,1.5,132.289
UE,13,28.6361,78.7375,1.5,83.7966
UE,14,147.092,74.5663,1.5,164.92
UE,15,28.1983,50.3299,1.5,57.7105
UE,16,82.738,143.465,1.5,165.62
UE,17,147.543,42.7919,1.5,153.631
UE,18,5.75923,0.0440704,1.5,5.95153
UE,19,57.8963,81.9204,1.5,100.325
UE,20,142.372,113.194,1.5,181.892
