User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0,0,1676.29,6000,0
2,0,0,859.597,6000,0
3,0,0,468.402,6000,0
4,0,0,668.63,6000,0
5,0,0,953.604,6000,1.18e-07
6,0,0,843.469,6000,0
7,0,0,389.734,6000,0
8,0,0,161.646,6000,0
9,0.314764,0.443733,465.443,5740,0.314764
10,0,0,668.747,6000,0.314764
11,0,0,1623.01,6000,0
12,0,0,1068.52,6000,0
13,0,0,1187.31,6000,0
14,0,0,1840.05,6000,0
15,0,0,1133.08,6000,0
16,0,0,221.278,6000,0
17,0.250006,17.2544,794.025,4989,0.250006
18,0,0,932.162,6000,0.250006
19,0,0,597.669,6000,0
20,0,0,582.577,6000,0
