User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.0738666,7.72437,904.45,1474,0.188702
2,0.297009,1.8944,1194.75,5889,0.223142
3,0.266029,11.776,1324.59,5310,0.0309804
4,0.295235,1.92853,658.015,5887,0.029206
5,0.167185,4.54656,267.57,3336,0.167185
6,0.262569,1.83979,946.865,4922,0.0953834
