NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,144.876,109.169,1.5,181.409
UE,2,55.0005,79.9373,1.5,97.0426
UE,3,88.7993,87.1066,1.5,124.399
UE,4,137.154,66.2085,1.5,152.305
UE,5,58.5769,95.1255,1.5,111.725
UE,6,71.5373,104.079,1.5,126.302
