NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,56.158,46.0307,1.5,72.6278
UE,2,118.531,1.17507,1.5,118.547
UE,3,145.044,23.1404,1.5,146.886
UE,4,13.4711,124.523,1.5,125.259
UE,5,11.4997,109.25,1.5,109.864
UE,6,136.044,45.6327,1.5,143.501
UE,7,45.6111,116.151,1.5,124.794
UE,8,48.0223,102.899,1.5,113.563
UE,9,10.248,34.4084,1.5,35.9335
UE,10,136.422,28.9491,1.5,139.467
UE,11,44.8678,98.0476,1.5,107.836
UE,12,42.8942,114.244,1.5,122.041
UE,13,136.601,18.9254,1.5,137.914
UE,14,45.9497,141.54,1.5,148.82
UE,15,21.0084,148.211,1.5,149.7
UE,16,29.9028,147.799,1.5,150.801
UE,17,7.00417,92.1061,1.5,92.3842
UE,18,100.836,7.02226,1.5,101.091
UE,19,79.8687,1.53944,1.5,79.8976
UE,20,75.3527,87.0404,1.5,115.136
