NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,78.0949,31.1345,1.5,84.0858
UE,2,66.6798,73.4677,1.5,99.2268
UE,3,87.0561,101.312,1.5,133.585
UE,4,139.668,76.6864,1.5,159.343
UE,5,52.6603,48.6713,1.5,71.7234
UE,6,3.29932,72.2427,1.5,72.3336
UE,7,29.6629,86.6949,1.5,91.6414
UE,8,53.7216,117.698,1.5,129.388
UE,9,90.5879,3.31287,1.5,90.6609
UE,10,85.8748,99.4737,1.5,131.422
UE,11,77.1712,88.8065,1.5,117.662
UE,12,128.181,16.6649,1.5,129.269
UE,13,120.384,29.8201,1.5,124.031
UE,14,42.6718,123.72,1.5,130.881
UE,15,80.3517,84.7461,1.5,116.793
UE,16,59.1064,28.2379,1.5,65.5225
UE,17,0.337057,127.568,1.5,127.577
UE,18,73.2258,117.668,1.5,138.601
UE,19,149.03,92.9846,1.5,175.665
UE,20,54.4673,0.380488,1.5,54.4893
