Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
3,1,10.1.3.3,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.011151,12.382190
1,2,10.1.3.1,10.1.3.6,1024,1019,0.908735,0.000530,0.488281,0.167832,12.720093
5,4,10.1.3.5,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.046640,11.730900
4,5,10.1.3.4,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.087556,12.374618
2,6,10.1.3.2,10.1.3.6,1024,1019,0.908735,0.003561,0.488281,0.173005,12.713635
