User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.229334,24.4395,207.795,4568,0.229334
2,0,0,690.496,6000,0.229334
3,0,0,1471.68,6000,0
4,0,0,516.648,6000,0
5,0.303285,0.0955733,116.071,5944,0.303285
6,0,0,436.976,6000,0.303285
7,0.215301,2.93888,1343.31,4278,0.215301
8,0,0,1873.1,6000,0.215301
9,0.000696614,10.2315,800.209,5,0.000696614
10,0,0,412.202,6000,0.000696614
11,0,0,1253.84,6000,0
12,0,0,140.617,6000,0
13,0,0,729.399,6000,0
14,0,0,377.799,6000,0
15,0.239045,21.1456,1292.66,4761,0.239045
16,0.21957,27.7333,940.375,4375,0.0194748
17,0,0,1419.99,6000,0.21957
18,0,0,284.155,6000,0
19,0,0,846.392,6000,0
20,0,0,2074.98,6000,0
