NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,117.648,86.9674,1.5,146.31
UE,2,94.6677,20.1096,1.5,96.7916
UE,3,0.2816,119.709,1.5,119.718
UE,4,52.4324,4.3688,1.5,52.6354
UE,5,145.448,124.212,1.5,191.274
UE,6,119.1,21.5632,1.5,121.046
UE,7,112.958,10.2442,1.5,113.432
UE,8,149.284,84.3542,1.5,171.475
UE,9,8.95144,61.1984,1.5,61.8678
UE,10,8.58869,145.782,1.5,146.042
UE,11,108.379,64.2914,1.5,126.023
UE,12,41.1965,70.6508,1.5,81.7982
UE,13,122.318,42.6285,1.5,129.542
UE,14,119.498,28.3686,1.5,122.829
UE,15,120.597,104.448,1.5,159.547
UE,16,106.381,32.5519,1.5,111.26
UE,17,8.86079,21.2448,1.5,23.0674
UE,18,118.219,91.8733,1.5,149.729
UE,19,70.4057,22.7234,1.5,73.997
UE,20,4.8665,15.3184,1.5,16.1427
