User,LostPackets
1,6000
2,6000
3,6000
4,6000
5,6000
6,6000
7,6000
8,6000
9,6000
10,6000
11,5964
12,6000
13,6000
14,2
15,6000
16,6000
17,6000
18,6000
19,6000
20,6000
1,5988
2,6000
3,6000
4,6000
5,6000
6,5750
7,6000
8,6000
9,6000
10,5975
11,3766
12,5998
13,11
14,6000
15,6000
16,5996
17,6000
18,6000
19,6000
20,6000
1,6000
2,6000
3,6000
4,6000
5,5911
6,5851
7,6000
8,8
9,8
10,6000
11,6000
12,6000
13,6000
14,5465
15,6000
16,6000
17,6000
18,6000
19,6000
20,6000
1,6000
2,6000
3,6000
4,6000
5,6000
6,6000
7,6000
8,6000
9,6000
10,6000
11,6000
12,6000
13,5880
14,5645
15,6000
16,5964
17,5259
18,6000
19,6000
20,6000
1,6000
2,6000
3,6000
4,6000
5,6000
6,6000
7,6000
8,6000
9,5963
10,6000
11,6000
12,6000
13,6000
14,6000
15,5967
16,6000
17,6000
18,6000
19,6000
20,6000
1,6000
2,5775
3,6000
4,5900
5,6000
6,6000
7,6
8,8
9,6000
10,5698
11,6000
12,7
13,6000
14,6000
15,5963
16,6000
17,6000
18,6000
19,6000
20,6000
1,6000
2,6000
3,6000
4,6000
5,5729
6,5723
7,6000
8,6000
9,6
10,6000
11,5735
12,6000
13,6000
14,2
15,6000
16,6000
17,4456
18,6000
19,6000
20,6000
1,6000
2,5911
3,6000
4,6000
5,4762
6,9
7,6000
8,5
9,5646
10,5743
11,6000
12,4
13,6000
14,5967
15,4280
16,6000
17,6000
18,6000
19,6000
20,6000
1,5971
2,6000
3,5725
4,6000
5,6000
6,94
7,6000
8,5948
9,6000
10,6000
11,5925
12,5780
13,2
14,2
15,6000
16,6000
17,6000
18,6000
19,6000
20,6000
1,6000
2,6000
3,5935
4,6000
5,6000
6,6000
7,5641
8,5637
9,6000
10,5
11,3728
12,5914
13,5
14,5
15,6000
16,5985
17,6000
18,6000
19,6000
20,6000
1,5999
2,6000
3,6000
4,6000
5,6000
6,5724
7,5742
8,6000
9,6000
10,6000
11,6000
12,6000
13,6000
14,6000
15,4988
16,6000
17,5554
18,6000
19,6000
20,6000
1,6000
2,6000
3,6000
4,6000
5,6000
6,6000
7,6000
8,6000
9,5740
10,6000
11,6000
12,6000
13,6000
14,6000
15,6000
16,6000
17,4989
18,6000
19,6000
20,6000
1,6000
2,5847
3,6000
4,5785
5,6000
6,6000
7,6000
8,6000
9,8
10,6
11,5955
12,6000
13,3
14,2
15,6000
16,6000
17,6000
18,6000
19,6000
20,6000
1,4568
2,6000
3,6000
4,6000
5,5944
6,6000
7,4278
8,6000
9,5
10,6000
11,6000
12,6000
13,6000
14,6000
15,4761
16,4375
17,6000
18,6000
19,6000
20,6000
1,6000
2,6000
3,6000
4,5997
5,5786
6,7
7,5784
8,6000
9,7
10,5635
11,5946
12,7
13,5638
14,5987
15,4244
16,4244
17,6000
18,6000
19,6000
20,6000
1,4212
2,5694
3,6000
4,6000
5,6000
6,5767
7,3
8,5632
9,5762
10,5752
11,5411
12,5666
13,6000
14,3
15,6000
16,5969
17,5969
18,6000
19,6000
20,6000
1,6000
2,6000
3,6000
4,6000
5,6000
6,7
7,5655
8,6000
9,6000
10,5730
11,6000
12,5734
13,6000
14,5910
15,6000
16,6000
17,4366
18,6000
19,6000
20,6000
1,5952
2,5996
3,6000
4,6000
5,6000
6,6000
7,5644
8,5
9,6000
10,5
11,4505
12,6000
13,6000
14,6000
15,6000
16,5983
17,4266
18,6000
19,6000
20,6000
1,6000
2,6000
3,6000
4,6000
5,5955
6,5790
7,7
8,7
9,5980
10,7
11,6000
12,8
13,7
14,6000
15,4301
16,6000
17,6000
18,5949
19,5809
20,6000
1,6000
2,6000
3,6000
4,5762
5,6000
6,5
7,456
8,5
9,5
10,6000
11,6000
12,6000
13,5
14,5920
15,6000
16,5963
17,4880
18,6000
19,6000
20,5998
