User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0,0,183.844,6000,0
2,0,0,361,6000,0
3,0,0,292.807,6000,0
4,0,0,857.936,6000,0
5,0.152383,0.0768,773.916,5955,0.152383
6,0.28641,0.3584,791.9,5790,0.134027
7,0.000574098,10.2281,17.807,7,0.285836
8,0.000566234,10.2281,922.35,7,7.86361e-06
9,0.357386,0.0341333,583.992,5980,0.35682
10,0.000603026,10.2281,277.549,7,0.356783
11,0,0,613.536,6000,0.000603026
12,0.000651115,10.2263,774.14,8,0.000651115
13,0.000541237,10.2281,966.626,7,0.000109878
14,0,0,250.348,6000,0.000541237
15,0.216131,28.9963,1048.14,4301,0.216131
16,0,0,1040.47,6000,0.216131
17,0,0,251.578,6000,0
18,0.317767,0.8704,1479.23,5949,0.317767
19,0.291973,3.25973,1185.06,5809,0.0257944
20,0,0,577.517,6000,0.291973
