User,Delay,Throughput,EnergyConsumption,LostPackets,Jitter
1,0.301649,0.9216,33.5355,5946,0.00456267
2,0,0,306.414,6000,0.301649
3,0.295277,0.1024,1104.98,5994,0.295277
4,0.327514,0.119467,950.65,5993,0.0322372
5,0,0,560.463,6000,1.18e-07
6,0.301975,0.684373,25.9092,5599,0.301975
7,0.281848,0.919893,146.851,5461,0.0201264
8,0.000429277,10.2349,84.0736,3,0.281419
9,0.272396,0.928427,1727.63,5456,0.271967
10,0.293378,1.04027,18.264,5390,0.0209822
11,0.340848,0.0597333,1245.31,5965,0.0474698
12,0.227632,2.48661,831.042,4543,0.113216
13,0.000403662,10.2349,546.064,3,0.227229
14,0.000394734,10.2349,1121.67,3,8.928e-06
15,0.298429,1.31413,316.646,5923,0.298034
16,0.176665,42.2912,764.878,3522,0.121764
17,0.194623,36.5056,475.138,3861,0.0179574
18,0,0,644.49,6000,0.194623
19,0,0,658,6000,0
20,0.306212,0.170667,608.228,5990,0.306212
