User,Distance
1,25.8981
2,78.2834
3,148.659
4,137.888
5,105.874
6,22.7636
7,54.1942
8,41.0058
9,185.883
10,19.1123
11,157.817
12,128.922
13,104.505
14,149.778
15,79.5797
16,123.683
17,97.4821
18,113.533
19,114.717
20,110.293
