User,Jitter
1,3.59262e-06
2,0.263496
3,0.263474
4,0.255796
5,0.000339518
6,5.37658e-05
1,3.01235e-05
2,8.9749e-06
3,8.90269e-06
4,0.000118991
5,0.000274962
6,4.86896e-05
1,4.46772e-06
2,1.35224e-05
3,2.57725e-05
4,4.39852e-07
5,0.00027144
6,4.4573e-06
1,0.00018358
2,3.96621e-05
3,0.214142
4,0.21402
5,0.000286608
6,0.000260444
1,5.18421e-05
2,0.163688
3,0.0971121
4,0.260706
5,0.000271434
6,6.96938e-05
1,8.80747e-05
2,0.259296
3,0.137112
4,0.0597503
5,0.000279713
6,9.97544e-05
1,7.43892e-06
2,6.1337e-06
3,0.0668772
4,0.0495461
5,0.000294726
6,1.69849e-05
1,0.00015335
2,0.000134207
3,0.240962
4,0.240943
5,0.000276493
6,1.30097e-05
1,2.78256e-06
2,2.16403e-05
3,0.242118
4,0.141378
5,0.00032152
6,9.07034e-06
1,4.31455e-05
2,0.238664
3,0.238702
4,1.70367e-05
5,0.000278796
6,3.39846e-05
1,3.0192e-05
2,0.268411
3,0.268387
4,1.36587e-05
5,0.00034779
6,5.83559e-06
1,5.1115e-06
2,0.000314817
3,0.000244881
4,0.181153
5,0.000303842
6,2.88089e-06
1,4.46549e-06
2,0.209574
3,0.209552
4,2.57483e-05
5,0.000272044
6,4.46549e-06
1,4.44911e-06
2,0.243095
3,0.243063
4,0.0946267
5,0.000271444
6,8.93321e-06
1,0.00504515
2,0.240832
3,0.0242729
4,0.270143
5,0.0186429
6,0.0183242
