NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,127.462,113.912,1.5,170.952
UE,2,31.4872,47.6626,1.5,57.1438
UE,3,14.0461,63.1272,1.5,64.6884
UE,4,7.24751,85.8387,1.5,86.1572
UE,5,10.5139,59.7491,1.5,60.6857
UE,6,30.7933,109.883,1.5,114.126
