NodeType,NodeId,X,Y,Z,DistanceFromBSS
gNB,0,0,0,0,0
UE,1,86.8253,76.0902,1.5,115.458
UE,2,143.564,3.87784,1.5,143.624
UE,3,132.25,68.8402,1.5,149.101
UE,4,140.526,54.7143,1.5,150.81
